simulation,final_pnl
1,10.286528049422884
2,9.970264106453968
3,5.447078982225477
4,11.838776194224835
5,-36.54307660828696
6,8.9239189725197
7,0.0
8,5.994013501196889
9,9.770834536778622
10,5.224091273455912
11,11.524832930936256
12,9.705000958603279
13,38.127823413246574
14,9.535322339406378
15,9.238673199428888
16,0.0
17,9.326533398280631
18,10.111823922847009
19,0.0
20,11.03704595455251
21,16.720314167038538
22,9.67712208410029
23,-11.137909730523134
24,9.48942769804151
25,4.9192357969604075
26,0.0
27,9.45363781675917
28,17.431975180106207
29,9.568127759440728
30,8.66933595387205
31,-34.72831167738431
32,-35.570470346027065
33,9.907792025676713
34,-9.356873703977186
35,19.173839507387527
36,11.383134050318489
37,7.278920786650801
38,12.07502582265873
39,10.659623403073041
40,14.409374738925408
41,5.101521996160798
42,11.641921228693263
43,12.35389688089812
44,0.7664152988468516
45,6.947245540902344
46,4.900358008206339
47,0.0
48,9.825888028088912
49,-2.5456584860405087
50,-8.03187475873051
51,20.56426368297106
52,-7.585388719076306
53,11.984640151030533
54,17.604150909036036
55,-40.5058982289032
56,11.79079801430646
57,13.33754699654817
58,8.87230531262098
59,12.143991306986777
60,10.384527463568503
61,15.944170021138945
62,8.84875436313665
63,11.270962989542639
64,9.371517680198423
65,19.15553530223616
66,0.0
67,-7.706314963570705
68,5.60219479940605
69,17.259475778868307
70,4.83228245029477
71,12.1939731175529
72,9.797300581363373
73,0.0
74,11.543052874736148
75,9.579460095268828
76,13.268033930569004
77,5.143494617819755
78,11.626463866490752
79,6.955043433885649
80,11.697259159932742
81,5.860987206896141
82,0.0
83,9.36288342302025
84,0.0
85,11.451825580499701
86,-35.81380587158037
87,5.223587909415855
88,6.527082425004053
89,0.0
90,-11.518143490295273
91,9.857292557188842
92,-7.546878324536891
93,6.791664833419361
94,5.117626000064817
95,27.016095868180074
96,-34.40011206523127
97,7.180386065347989
98,12.22822413515837
99,11.350831767704506
100,-38.13919378062552
101,10.33841906031195
102,5.668553362378475
103,40.73555950607556
104,9.84240719806995
105,19.727596867428105
106,12.92789984733109
107,10.066856967176392
108,5.958406177451565
109,-8.87162842334881
110,9.021941174326102
111,10.404678154774203
112,8.064455000542793
113,34.81772150675613
114,10.113243717190798
115,5.9103724308308045
116,10.289448645187406
117,5.378733824754235
118,9.684127263416755
